LAMMPS (15 May 2015)
Reading data file ...
  orthogonal box = (-10.7281 -10.7281 -2.60084) to (10.7281 10.7281 2.60084)
  2 by 2 by 1 MPI processor grid
  reading atoms ...
  424 atoms
212 atoms in group positive_ions
212 atoms in group negative_ions
424 atoms in group salt_ions
PPPMDisp initialization ...
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
  Coulomb G vector (1/distance)= 0.359897
  Coulomb grid = 18 18 12
  Coulomb stencil order = 5
  Coulomb estimated absolute RMS force accuracy = 0.000101278
  Coulomb estimated relative force accuracy = 0.000101278
  using double precision FFTs
  3d grid and FFT values/proc = 2744 972
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
WARNING: Table inner cutoff >= outer cutoff (../pair.cpp:1607)
Neighbor list info ...
  1 neighbor list requests
  update every 1 steps, delay 0 steps, check yes
  master list distance cutoff = 8.1
Setting up run ...
Memory usage per processor = 3.81279 Mbytes
Step Temp Volume Density KinEng PotEng TotEng 
  143000    1.0369076    2394.6897   0.17705843    1.5516931  -0.19930677    1.3523864 
  144000    1.0311181    2394.6897   0.17705843    1.5430293  -0.22840125     1.314628 
  145000    1.0177681    2394.6897   0.17705843    1.5230515  -0.20733574    1.3157158 
  146000   0.96210961    2394.6897   0.17705843    1.4397607  -0.25637468     1.183386 
  147000   0.98237352    2394.6897   0.17705843    1.4700849  -0.23945988     1.230625 
  148000    1.0240548    2394.6897   0.17705843    1.5324594  -0.23956416    1.2928952 
  149000    1.0028359    2394.6897   0.17705843     1.500706  -0.25765816    1.2430479 
  150000    1.0005157    2394.6897   0.17705843    1.4972339  -0.22780382    1.2694301 
  151000   0.99326093    2394.6897   0.17705843    1.4863775  -0.22479637    1.2615811 
  152000   0.97535382    2394.6897   0.17705843    1.4595802  -0.21856131    1.2410189 
  153000    1.0396394    2394.6897   0.17705843    1.5557811   -0.2004453    1.3553358 
  154000    0.9668683    2394.6897   0.17705843    1.4468819  -0.21795623    1.2289257 
  155000   0.98804032    2394.6897   0.17705843    1.4785651  -0.21025832    1.2683067 
  156000   0.96060716    2394.6897   0.17705843    1.4375124  -0.21742451    1.2200879 
  157000    0.9752946    2394.6897   0.17705843    1.4594916  -0.21524061     1.244251 
  158000    0.9806855    2394.6897   0.17705843    1.4675588  -0.20954158    1.2580173 
  159000   0.95529567    2394.6897   0.17705843    1.4295639  -0.22769614    1.2018678 
  160000   0.94169753    2394.6897   0.17705843    1.4092148  -0.22823885     1.180976 
  161000     1.027913    2394.6897   0.17705843    1.5382331  -0.23143165    1.3068014 
  162000   0.99619955    2394.6897   0.17705843     1.490775  -0.26180596    1.2289691 
  163000    0.9792606    2394.6897   0.17705843    1.4654265  -0.22092295    1.2445036 
  164000    1.0148561    2394.6897   0.17705843    1.5186939  -0.22296537    1.2957285 
  165000    1.0023868    2394.6897   0.17705843    1.5000341  -0.22468575    1.2753483 
  166000    1.0323541    2394.6897   0.17705843     1.544879  -0.21918669    1.3256923 
  167000   0.98420973    2394.6897   0.17705843    1.4728327  -0.23300175     1.239831 
  168000    1.0609325    2394.6897   0.17705843    1.5876454  -0.25432009    1.3333253 
  169000    1.0176084    2394.6897   0.17705843    1.5228126  -0.23447301    1.2883396 
  170000   0.96841041    2394.6897   0.17705843    1.4491896  -0.20376605    1.2454236 
  171000    1.0080099    2394.6897   0.17705843    1.5084488  -0.25796504    1.2504838 
  172000   0.96243046    2394.6897   0.17705843    1.4402409  -0.21823916    1.2220017 
  173000   0.99612336    2394.6897   0.17705843     1.490661  -0.26591286    1.2247482 
  174000   0.97624513    2394.6897   0.17705843     1.460914  -0.25096111    1.2099529 
  175000   0.96190422    2394.6897   0.17705843    1.4394534   -0.2335861    1.2058673 
  176000    1.0280675    2394.6897   0.17705843    1.5384642  -0.25901604    1.2794481 
  177000    1.0161221    2394.6897   0.17705843    1.5205883  -0.25006459    1.2705237 
  178000     0.985028    2394.6897   0.17705843    1.4740572  -0.24170537    1.2323519 
  179000    1.0073111    2394.6897   0.17705843    1.5074031  -0.23908663    1.2683165 
  180000   0.96393439    2394.6897   0.17705843    1.4424914  -0.23974958    1.2027418 
  181000   0.98522356    2394.6897   0.17705843    1.4743499  -0.22510726    1.2492426 
  182000    1.0152418    2394.6897   0.17705843     1.519271  -0.23011576    1.2891553 
  183000   0.95900245    2394.6897   0.17705843     1.435111  -0.20220006    1.2329109 
  184000    1.0163869    2394.6897   0.17705843    1.5209846  -0.21471131    1.3062733 
  185000   0.99759969    2394.6897   0.17705843    1.4928703  -0.24244079    1.2504295 
  186000    1.0454008    2394.6897   0.17705843    1.5644029  -0.23892148    1.3254814 
  187000    0.9934253    2394.6897   0.17705843    1.4866235  -0.21620896    1.2704145 
  188000   0.94070018    2394.6897   0.17705843    1.4077223  -0.17419091    1.2335314 
  189000   0.96818498    2394.6897   0.17705843    1.4488523   -0.2425352    1.2063171 
  190000   0.98943356    2394.6897   0.17705843      1.48065  -0.21045465    1.2701953 
  191000    1.0035835    2394.6897   0.17705843    1.5018249  -0.21522761    1.2865973 
  192000   0.88462121    2394.6897   0.17705843    1.3238023   -0.2468732    1.0769291 
  193000   0.99923618    2394.6897   0.17705843    1.4953192  -0.25540908    1.2399101 
  194000   0.96946817    2394.6897   0.17705843    1.4507725  -0.23684809    1.2139244 
  195000   0.99524222    2394.6897   0.17705843    1.4893424  -0.17691456    1.3124279 
  196000    1.0572285    2394.6897   0.17705843    1.5821026  -0.18216565    1.3999369 
  197000   0.96992947    2394.6897   0.17705843    1.4514629  -0.21707847    1.2343844 
  198000   0.94631676    2394.6897   0.17705843    1.4161273  -0.25063191    1.1654954 
  199000    1.0178797    2394.6897   0.17705843    1.5232185  -0.22906808    1.2941505 
  200000   0.97315298    2394.6897   0.17705843    1.4562867  -0.20216261    1.2541241 
Loop time of 583.411 on 4 procs for 200000 steps with 424 atoms

Pair  time (%) = 176.293 (30.2177)
Kspce time (%) = 370.692 (63.5388)
Neigh time (%) = 10.2771 (1.76156)
Comm  time (%) = 16.7162 (2.86526)
Outpt time (%) = 0.451289 (0.0773537)
Other time (%) = 8.98066 (1.53934)

Nlocal:    106 ave 109 max 102 min
